$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.5,0.7,1.4,1*27
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
$GPGSA,M,3,03,16,26,28,29,31,32,,,,,,1.6,0.7,1.4,1*24
